X,Y,R,G,B
0,0,255,255,255
1,0,255,255,255
2,0,255,255,255
3,0,255,255,255
4,0,255,255,255
5,0,255,255,255
6,0,255,255,255
7,0,255,255,255
8,0,255,255,255
9,0,255,255,255
10,0,253,253,253
11,0,254,254,254
12,0,254,254,254
13,0,255,255,255
14,0,255,255,255
15,0,252,252,252
16,0,255,255,255
17,0,253,253,253
18,0,194,194,194
19,0,255,255,255
20,0,253,253,253
21,0,255,255,255
22,0,255,255,255
23,0,252,252,252
24,0,255,255,255
25,0,255,255,255
26,0,255,255,255
27,0,255,255,255
28,0,255,255,255
29,0,253,253,253
30,0,255,255,255
31,0,255,255,255
32,0,255,255,255
33,0,255,255,255
34,0,254,254,254
35,0,255,255,255
36,0,255,255,255
37,0,255,255,255
38,0,0,0,0
39,0,0,0,0
0,1,255,255,255
1,1,255,255,255
2,1,255,255,255
3,1,255,255,255
4,1,255,255,255
5,1,255,255,255
6,1,255,255,255
7,1,255,255,255
8,1,255,255,255
9,1,254,254,254
10,1,255,255,255
11,1,255,255,255
12,1,255,255,255
13,1,255,255,255
14,1,253,253,253
15,1,255,255,255
16,1,255,255,255
17,1,253,253,253
18,1,255,255,255
19,1,196,196,196
20,1,255,255,255
21,1,255,255,255
22,1,250,250,250
23,1,255,255,255
24,1,253,253,253
25,1,254,254,254
26,1,254,254,254
27,1,254,254,254
28,1,253,253,253
29,1,255,255,255
30,1,255,255,255
31,1,252,252,252
32,1,255,255,255
33,1,255,255,255
34,1,254,254,254
35,1,255,255,255
36,1,255,255,255
37,1,255,255,255
38,1,0,0,0
39,1,0,0,0
0,2,255,255,255
1,2,255,255,255
2,2,255,255,255
3,2,255,255,255
4,2,255,255,255
5,2,255,255,255
6,2,255,255,255
7,2,255,255,255
8,2,250,250,250
9,2,255,255,255
10,2,255,255,255
11,2,255,255,255
12,2,253,253,253
13,2,255,255,255
14,2,255,255,255
15,2,253,253,253
16,2,253,253,253
17,2,255,255,255
18,2,254,254,254
19,2,251,251,251
20,2,195,195,195
21,2,255,255,255
22,2,255,255,255
23,2,253,253,253
24,2,255,255,255
25,2,253,253,253
26,2,255,255,255
27,2,255,255,255
28,2,255,255,255
29,2,255,255,255
30,2,251,251,251
31,2,255,255,255
32,2,255,255,255
33,2,255,255,255
34,2,254,254,254
35,2,255,255,255
36,2,255,255,255
37,2,255,255,255
38,2,0,0,0
39,2,0,0,0
0,3,255,255,255
1,3,255,255,255
2,3,255,255,255
3,3,255,255,255
4,3,255,255,255
5,3,255,255,255
6,3,255,255,255
7,3,255,255,255
8,3,255,255,255
9,3,255,255,255
10,3,255,255,255
11,3,252,252,252
12,3,255,255,255
13,3,255,255,255
14,3,1,1,1
15,3,255,255,255
16,3,255,255,255
17,3,255,255,255
18,3,255,255,255
19,3,255,255,255
20,3,0,0,0
21,3,0,0,0
22,3,0,0,0
23,3,255,255,255
24,3,254,254,254
25,3,255,255,255
26,3,255,255,255
27,3,0,0,0
28,3,0,0,0
29,3,0,0,0
30,3,255,255,255
31,3,255,255,255
32,3,255,255,255
33,3,255,255,255
34,3,254,254,254
35,3,255,255,255
36,3,255,255,255
37,3,255,255,255
38,3,0,0,0
39,3,0,0,0
0,4,255,255,255
1,4,255,255,255
2,4,255,255,255
3,4,255,255,255
4,4,255,255,255
5,4,255,255,255
6,4,255,255,255
7,4,255,255,255
8,4,255,255,255
9,4,254,254,254
10,4,250,250,250
11,4,255,255,255
12,4,251,251,251
13,4,0,0,0
14,4,6,6,6
15,4,255,255,255
16,4,255,255,255
17,4,251,251,251
18,4,253,253,253
19,4,2,2,2
20,4,250,250,250
21,4,255,255,255
22,4,195,195,195
23,4,0,0,0
24,4,255,255,255
25,4,249,249,249
26,4,0,0,0
27,4,255,255,255
28,4,253,253,253
29,4,255,255,255
30,4,2,2,2
31,4,255,255,255
32,4,255,255,255
33,4,255,255,255
