X,Y,R,G,B
0,0,255,255,255
1,0,253,253,253
2,0,255,255,255
3,0,255,255,255
4,0,254,254,254
5,0,255,255,255
6,0,255,255,255
7,0,255,255,255
8,0,255,255,255
9,0,255,255,255
10,0,255,255,255
11,0,255,255,255
12,0,255,255,255
13,0,255,255,255
14,0,255,255,255
15,0,255,255,255
16,0,255,255,255
17,0,255,255,255
18,0,255,255,255
19,0,255,255,255
20,0,255,255,255
21,0,255,255,255
22,0,255,255,255
23,0,255,255,255
24,0,255,255,255
25,0,255,255,255
26,0,255,255,255
27,0,254,254,254
28,0,253,253,253
29,0,251,251,251
30,0,254,254,254
31,0,255,255,255
32,0,255,255,255
33,0,255,255,255
34,0,255,255,255
35,0,255,255,255
36,0,255,255,255
37,0,255,255,255
38,0,255,255,255
39,0,255,255,255
0,1,255,255,255
1,1,255,255,255
2,1,254,254,254
3,1,252,252,252
4,1,254,254,254
5,1,255,255,255
6,1,255,255,255
7,1,253,253,253
8,1,255,255,255
9,1,255,255,255
10,1,255,255,255
11,1,255,255,255
12,1,255,255,255
13,1,255,255,255
14,1,255,255,255
15,1,255,255,255
16,1,255,255,255
17,1,255,255,255
18,1,255,255,255
19,1,255,255,255
20,1,255,255,255
21,1,255,255,255
22,1,255,255,255
23,1,255,255,255
24,1,255,255,255
25,1,252,252,252
26,1,251,251,251
27,1,255,255,255
28,1,255,255,255
29,1,252,252,252
30,1,255,255,255
31,1,254,254,254
32,1,255,255,255
33,1,255,255,255
34,1,255,255,255
35,1,255,255,255
36,1,255,255,255
37,1,255,255,255
38,1,255,255,255
39,1,255,255,255
0,2,251,251,251
1,2,255,255,255
2,2,254,254,254
3,2,255,255,255
4,2,255,255,255
5,2,253,253,253
6,2,254,254,254
7,2,255,255,255
8,2,255,255,255
9,2,255,255,255
10,2,255,255,255
11,2,255,255,255
12,2,255,255,255
13,2,255,255,255
14,2,255,255,255
15,2,255,255,255
16,2,255,255,255
17,2,255,255,255
18,2,255,255,255
19,2,255,255,255
20,2,255,255,255
21,2,255,255,255
22,2,255,255,255
23,2,255,255,255
24,2,255,255,255
25,2,254,254,254
26,2,255,255,255
27,2,249,249,249
28,2,252,252,252
29,2,255,255,255
30,2,255,255,255
31,2,254,254,254
32,2,255,255,255
33,2,255,255,255
34,2,255,255,255
35,2,255,255,255
36,2,255,255,255
37,2,255,255,255
38,2,255,255,255
39,2,255,255,255
0,3,4,4,4
1,3,0,0,0
2,3,1,1,1
3,3,1,1,1
4,3,0,0,0
5,3,0,0,0
6,3,1,1,1
7,3,0,0,0
8,3,0,0,0
9,3,0,0,0
10,3,0,0,0
11,3,0,0,0
12,3,0,0,0
13,3,0,0,0
14,3,0,0,0
15,3,0,0,0
16,3,0,0,0
17,3,0,0,0
18,3,0,0,0
19,3,0,0,0
20,3,0,0,0
21,3,0,0,0
22,3,0,0,0
23,3,0,0,0
24,3,0,0,0
25,3,1,1,1
26,3,0,0,0
27,3,2,2,2
28,3,0,0,0
29,3,4,4,4
30,3,0,0,0
31,3,4,4,4
32,3,0,0,0
33,3,0,0,0
34,3,0,0,0
35,3,0,0,0
36,3,0,0,0
37,3,0,0,0
38,3,0,0,0
39,3,0,0,0
0,4,1,1,1
1,4,0,0,0
2,4,4,4,4
3,4,0,0,0
4,4,0,0,0
5,4,4,4,4
6,4,2,2,2
7,4,0,0,0
8,4,0,0,0
9,4,0,0,0
10,4,0,0,0
11,4,0,0,0
12,4,0,0,0
13,4,0,0,0
14,4,0,0,0
15,4,0,0,0
16,4,0,0,0
17,4,0,0,0
18,4,0,0,0
19,4,0,0,0
20,4,0,0,0
21,4,0,0,0
22,4,0,0,0
23,4,0,0,0
24,4,3,3,3
25,4,0,0,0
26,4,0,0,0
27,4,2,2,2
28,4,0,0,0
29,4,0,0,0
30,4,5,5,5
31,4,0,0,0
32,4,0,0,0
33,4,0,0,0
34,4,0,0,0
35,4,0,0,0
36,4,0,0,0
37,4,0,0,0
38,4,0,0,0
39,4,0,0,0
0,5,0,0,0
1,5,0,0,0
2,5,1,1,1
3,5,2,2,2
4,5,0,0,0
5,5,0,0,0
6,5,0,0,0
7,5,1,1,1
8,5,1,1,1
9,5,1,1,1
10,5,1,1,1
11,5,1,1,1
12,5,1,1,1
13,5,1,1,1
14,5,1,1,1
15,5,1,1,1
16,5,1,1,1
17,5,1,1,1
18,5,1,1,1
19,5,1,1,1
20,5,1,1,1
21,5,1,1,1
22,5,1,1,1
23,5,1,1,1
24,5,0,0,0
25,5,0,0,0
26,5,1,1,1
27,5,0,0,0
28,5,0,0,0
29,5,0,0,0
30,5,1,1,1
31,5,0,0,0
32,5,1,1,1
33,5,1,1,1
34,5,1,1,1
35,5,1,1,1
36,5,1,1,1
37,5,1,1,1
38,5,1,1,1
39,5,1,1,1
0,6,253,253,253
1,6,255,255,255
2,6,251,251,251
3,6,254,254,254
4,6,254,254,254
5,6,254,254,254
6,6,255,255,255
7,6,255,255,255
8,6,254,254,254
9,6,254,254,254
10,6,254,254,254
11,6,254,254,254
12,6,254,254,254
13,6,254,254,254
14,6,254,254,254
15,6,254,254,254
16,6,254,254,254
17,6,254,254,254
18,6,254,254,254
19,6,254,254,254
20,6,254,254,254
21,6,254,254,254
22,6,254,254,254
23,6,254,254,254
24,6,255,255,255
25,6,195,195,195
26,6,255,255,255
27,6,254,254,254
28,6,255,255,255
29,6,255,255,255
30,6,254,254,254
31,6,255,255,255
32,6,254,254,254
33,6,254,254,254
34,6,254,254,254
35,6,254,254,254
36,6,254,254,254
37,6,254,254,254
38,6,254,254,254
39,6,254,254,254
0,7,198,198,198
1,7,252,252,252
2,7,255,255,255
3,7,255,255,255
4,7,255,255,255
5,7,251,251,251
6,7,255,255,255
7,7,254,254,254
8,7,255,255,255
9,7,255,255,255
10,7,255,255,255
11,7,255,255,255
12,7,255,255,255
13,7,255,255,255
14,7,255,255,255
15,7,255,255,255
16,7,255,255,255
17,7,255,255,255
18,7,255,255,255
19,7,255,255,255
20,7,255,255,255
21,7,255,255,255
22,7,255,255,255
23,7,255,255,255
24,7,253,253,253
25,7,255,255,255
26,7,195,195,195
27,7,254,254,254
28,7,255,255,255
29,7,255,255,255
30,7,253,253,253
31,7,255,255,255
32,7,255,255,255
33,7,255,255,255
34,7,255,255,255
35,7,255,255,255
36,7,255,255,255
37,7,255,255,255
38,7,255,255,255
39,7,255,255,255
0,8,255,255,255
1,8,194,194,194
2,8,255,255,255
3,8,255,255,255
4,8,255,255,255
5,8,255,255,255
6,8,255,255,255
7,8,254,254,254
8,8,255,255,255
9,8,253,253,253
10,8,255,255,255
