X,Y,R,G,B
0,0,255,255,255
1,0,255,255,255
2,0,255,255,255
3,0,255,255,255
4,0,255,255,255
5,0,255,255,255
6,0,255,255,255
7,0,255,255,255
8,0,254,254,254
9,0,255,255,255
10,0,255,255,255
11,0,253,253,253
12,0,254,254,254
13,0,254,254,254
14,0,255,255,255
15,0,254,254,254
16,0,255,255,255
17,0,255,255,255
18,0,255,255,255
19,0,255,255,255
20,0,255,255,255
21,0,255,255,255
22,0,255,255,255
23,0,255,255,255
24,0,255,255,255
25,0,255,255,255
26,0,255,255,255
27,0,255,255,255
28,0,255,255,255
29,0,255,255,255
30,0,255,255,255
31,0,255,255,255
32,0,255,255,255
33,0,254,254,254
34,0,254,254,254
35,0,255,255,255
36,0,255,255,255
37,0,254,254,254
38,0,252,252,252
39,0,254,254,254
0,1,255,255,255
1,1,255,255,255
2,1,255,255,255
3,1,255,255,255
4,1,255,255,255
5,1,255,255,255
6,1,255,255,255
7,1,255,255,255
8,1,255,255,255
9,1,255,255,255
10,1,254,254,254
11,1,255,255,255
12,1,255,255,255
13,1,255,255,255
14,1,252,252,252
15,1,255,255,255
16,1,255,255,255
17,1,255,255,255
18,1,255,255,255
19,1,255,255,255
20,1,255,255,255
21,1,255,255,255
22,1,255,255,255
23,1,255,255,255
24,1,255,255,255
25,1,255,255,255
26,1,255,255,255
27,1,255,255,255
28,1,255,255,255
29,1,255,255,255
30,1,255,255,255
31,1,255,255,255
32,1,253,253,253
33,1,255,255,255
34,1,255,255,255
35,1,253,253,253
36,1,251,251,251
37,1,254,254,254
38,1,255,255,255
39,1,255,255,255
0,2,255,255,255
1,2,255,255,255
2,2,255,255,255
3,2,255,255,255
4,2,255,255,255
5,2,255,255,255
6,2,255,255,255
7,2,255,255,255
8,2,249,249,249
9,2,254,254,254
10,2,255,255,255
11,2,254,254,254
12,2,255,255,255
13,2,254,254,254
14,2,255,255,255
15,2,255,255,255
16,2,255,255,255
17,2,255,255,255
18,2,255,255,255
19,2,255,255,255
20,2,255,255,255
21,2,255,255,255
22,2,255,255,255
23,2,255,255,255
24,2,255,255,255
25,2,255,255,255
26,2,255,255,255
27,2,255,255,255
28,2,255,255,255
29,2,255,255,255
30,2,255,255,255
31,2,255,255,255
32,2,254,254,254
33,2,254,254,254
34,2,253,253,253
35,2,255,255,255
36,2,255,255,255
37,2,255,255,255
38,2,252,252,252
39,2,255,255,255
0,3,0,0,0
1,3,0,0,0
2,3,0,0,0
3,3,0,0,0
4,3,0,0,0
5,3,0,0,0
6,3,0,0,0
7,3,0,0,0
8,3,6,6,6
9,3,0,0,0
10,3,0,0,0
11,3,0,0,0
12,3,0,0,0
13,3,1,1,1
14,3,0,0,0
15,3,0,0,0
16,3,0,0,0
17,3,0,0,0
18,3,0,0,0
19,3,0,0,0
20,3,0,0,0
21,3,0,0,0
22,3,0,0,0
23,3,0,0,0
24,3,0,0,0
25,3,0,0,0
26,3,0,0,0
27,3,0,0,0
28,3,0,0,0
29,3,0,0,0
30,3,0,0,0
31,3,0,0,0
32,3,1,1,1
33,3,0,0,0
34,3,1,1,1
35,3,3,3,3
36,3,0,0,0
37,3,0,0,0
38,3,6,6,6
39,3,0,0,0
0,4,0,0,0
1,4,0,0,0
2,4,0,0,0
3,4,0,0,0
4,4,0,0,0
5,4,0,0,0
6,4,0,0,0
7,4,0,0,0
8,4,0,0,0
9,4,0,0,0
10,4,0,0,0
11,4,0,0,0
12,4,4,4,4
13,4,0,0,0
14,4,1,1,1
15,4,0,0,0
16,4,0,0,0
17,4,0,0,0
18,4,0,0,0
19,4,0,0,0
20,4,0,0,0
21,4,0,0,0
22,4,0,0,0
23,4,0,0,0
24,4,0,0,0
25,4,0,0,0
26,4,0,0,0
27,4,0,0,0
28,4,0,0,0
29,4,0,0,0
30,4,0,0,0
31,4,0,0,0
32,4,2,2,2
33,4,1,1,1
