X,Y,R,G,B
0,0,252,252,252
1,0,255,255,255
2,0,190,190,190
3,0,255,255,255
4,0,255,255,255
5,0,255,255,255
6,0,254,254,254
7,0,254,254,254
8,0,255,255,255
9,0,255,255,255
10,0,255,255,255
11,0,255,255,255
12,0,251,251,251
13,0,255,255,255
14,0,255,255,255
15,0,254,254,254
16,0,250,250,250
17,0,255,255,255
18,0,254,254,254
19,0,255,255,255
20,0,255,255,255
21,0,250,250,250
22,0,255,255,255
23,0,254,254,254
24,0,255,255,255
25,0,253,253,253
26,0,255,255,255
27,0,191,191,191
28,0,255,255,255
29,0,255,255,255
30,0,254,254,254
31,0,255,255,255
32,0,255,255,255
33,0,254,254,254
34,0,253,253,253
35,0,255,255,255
36,0,255,255,255
37,0,255,255,255
38,0,252,252,252
39,0,255,255,255
0,1,255,255,255
1,1,255,255,255
2,1,255,255,255
3,1,192,192,192
4,1,255,255,255
5,1,254,254,254
6,1,255,255,255
7,1,254,254,254
8,1,254,254,254
9,1,255,255,255
10,1,254,254,254
11,1,255,255,255
12,1,255,255,255
13,1,250,250,250
14,1,255,255,255
15,1,255,255,255
16,1,255,255,255
17,1,255,255,255
18,1,255,255,255
19,1,253,253,253
20,1,255,255,255
21,1,255,255,255
22,1,253,253,253
23,1,255,255,255
24,1,252,252,252
25,1,255,255,255
26,1,255,255,255
27,1,252,252,252
28,1,193,193,193
29,1,255,255,255
30,1,253,253,253
31,1,254,254,254
32,1,249,249,249
33,1,255,255,255
34,1,255,255,255
35,1,254,254,254
36,1,255,255,255
37,1,254,254,254
38,1,255,255,255
39,1,255,255,255
0,2,255,255,255
1,2,253,253,253
2,2,252,252,252
3,2,254,254,254
4,2,196,196,196
5,2,255,255,255
6,2,253,253,253
7,2,255,255,255
8,2,255,255,255
9,2,255,255,255
10,2,255,255,255
11,2,255,255,255
12,2,254,254,254
13,2,255,255,255
14,2,255,255,255
15,2,251,251,251
16,2,255,255,255
17,2,254,254,254
18,2,252,252,252
19,2,255,255,255
20,2,255,255,255
21,2,254,254,254
22,2,255,255,255
23,2,253,253,253
24,2,255,255,255
25,2,255,255,255
26,2,252,252,252
27,2,255,255,255
28,2,255,255,255
29,2,191,191,191
30,2,254,254,254
31,2,255,255,255
32,2,254,254,254
33,2,253,253,253
34,2,251,251,251
35,2,254,254,254
36,2,250,250,250
37,2,255,255,255
38,2,253,253,253
39,2,254,254,254
0,3,253,253,253
1,3,255,255,255
2,3,255,255,255
3,3,255,255,255
4,3,255,255,255
5,3,190,190,190
6,3,255,255,255
7,3,255,255,255
8,3,0,0,0
9,3,0,0,0
10,3,0,0,0
11,3,254,254,254
12,3,255,255,255
13,3,255,255,255
14,3,255,255,255
15,3,2,2,2
16,3,0,0,0
17,3,0,0,0
18,3,255,255,255
19,3,255,255,255
20,3,251,251,251
21,3,0,0,0
22,3,5,5,5
23,3,0,0,0
24,3,0,0,0
25,3,1,1,1
26,3,253,253,253
27,3,253,253,253
28,3,255,255,255
29,3,255,255,255
30,3,198,198,198
31,3,252,252,252
32,3,253,253,253
33,3,255,255,255
34,3,255,255,255
35,3,254,254,254
36,3,255,255,255
37,3,255,255,255
38,3,255,255,255
39,3,255,255,255
0,4,255,255,255
1,4,252,252,252
2,4,253,253,253
3,4,251,251,251
4,4,255,255,255
5,4,255,255,255
6,4,193,193,193
7,4,5,5,5
8,4,255,255,255
9,4,255,255,255
10,4,255,255,255
11,4,0,0,0
12,4,255,255,255
13,4,255,255,255
14,4,0,0,0
15,4,254,254,254
16,4,255,255,255
17,4,255,255,255
18,4,0,0,0
19,4,253,253,253
20,4,255,255,255
21,4,251,251,251
22,4,254,254,254
23,4,255,255,255
24,4,255,255,255
25,4,0,0,0
26,4,255,255,255
27,4,255,255,255
28,4,255,255,255
29,4,249,249,249
30,4,255,255,255
31,4,192,192,192
32,4,255,255,255
33,4,250,250,250
34,4,255,255,255
35,4,255,255,255
36,4,252,252,252
37,4,254,254,254
38,4,255,255,255
39,4,255,255,255
0,5,255,255,255
1,5,255,255,255
2,5,255,255,255
3,5,255,255,255
4,5,252,252,252
5,5,255,255,255
6,5,255,255,255
7,5,190,190,190
8,5,255,255,255
9,5,254,254,254
10,5,255,255,255
11,5,0,0,0
12,5,255,255,255
13,5,251,251,251
14,5,0,0,0
15,5,255,255,255
16,5,252,252,252
17,5,254,254,254
18,5,0,0,0
19,5,255,255,255
20,5,255,255,255
21,5,255,255,255
22,5,255,255,255
23,5,251,251,251
24,5,1,1,1
25,5,255,255,255
26,5,253,253,253
27,5,254,254,254
28,5,253,253,253
29,5,255,255,255
30,5,254,254,254
31,5,255,255,255
32,5,192,192,192
33,5,255,255,255
34,5,254,254,254
35,5,255,255,255
36,5,252,252,252
37,5,254,254,254
38,5,255,255,255
39,5,255,255,255
0,6,255,255,255
1,6,253,253,253
2,6,255,255,255
3,6,255,255,255
4,6,255,255,255
5,6,252,252,252
6,6,255,255,255
7,6,255,255,255
8,6,194,194,194
9,6,255,255,255
10,6,254,254,254
11,6,3,3,3
12,6,254,254,254
13,6,255,255,255
14,6,255,255,255
15,6,0,0,0
16,6,2,2,2
17,6,0,0,0
18,6,252,252,252
19,6,255,255,255
20,6,253,253,253
21,6,254,254,254
22,6,255,255,255
23,6,255,255,255
24,6,0,0,0
25,6,254,254,254
26,6,255,255,255
27,6,255,255,255
28,6,254,254,254
29,6,252,252,252
30,6,255,255,255
31,6,252,252,252
32,6,255,255,255
33,6,197,197,197
34,6,254,254,254
35,6,252,252,252
36,6,255,255,255
37,6,252,252,252
38,6,253,253,253
39,6,255,255,255
0,7,254,254,254
1,7,255,255,255
2,7,255,255,255
3,7,252,252,252
4,7,253,253,253
5,7,255,255,255
6,7,254,254,254
7,7,255,255,255
8,7,255,255,255
9,7,196,196,196
10,7,0,0,0
11,7,254,254,254
12,7,255,255,255
13,7,255,255,255
14,7,0,0,0
15,7,255,255,255
16,7,254,254,254
17,7,252,252,252
18,7,2,2,2
19,7,255,255,255
20,7,255,255,255
21,7,254,254,254
22,7,255,255,255
23,7,0,0,0
24,7,254,254,254
25,7,254,254,254
26,7,255,255,255
27,7,255,255,255
28,7,255,255,255
29,7,255,255,255
30,7,255,255,255
31,7,255,255,255
32,7,255,255,255
33,7,253,253,253
34,7,192,192,192
35,7,255,255,255
36,7,252,252,252
37,7,255,255,255
38,7,251,251,251
39,7,255,255,255
0,8,254,254,254
1,8,255,255,255
2,8,250,250,250
3,8,255,255,255
4,8,255,255,255
5,8,250,250,250
6,8,255,255,255
7,8,254,254,254
8,8,253,253,253
9,8,0,0,0
10,8,199,199,199
11,8,254,254,254
12,8,250,250,250
13,8,255,255,255
14,8,3,3,3
15,8,255,255,255
16,8,255,255,255
17,8,255,255,255
18,8,3,3,3
19,8,252,252,252
20,8,255,255,255
21,8,254,254,254
22,8,255,255,255
23,8,0,0,0
24,8,255,255,255
25,8,255,255,255
26,8,255,255,255
27,8,255,255,255
28,8,255,255,255
29,8,255,255,255
30,8,255,255,255
31,8,255,255,255
32,8,255,255,255
33,8,255,255,255
34,8,255,255,255
35,8,193,193,193
36,8,255,255,255
37,8,255,255,255
38,8,254,254,254
39,8,251,251,251
0,9,254,254,254
1,9,255,255,255
2,9,255,255,255
3,9,252,252,252
4,9,255,255,255
5,9,255,255,255
6,9,255,255,255
7,9,254,254,254
8,9,2,2,2
9,9,255,255,255
10,9,250,250,250
11,9,198,198,198
12,9,255,255,255
13,9,255,255,255
14,9,0,0,0
15,9,252,252,252
16,9,253,253,253
17,9,255,255,255
18,9,0,0,0
19,9,251,251,251
20,9,255,255,255
21,9,255,255,255
22,9,0,0,0
23,9,255,255,255
24,9,255,255,255
25,9,255,255,255
26,9,255,255,255
27,9,255,255,255
28,9,255,255,255
29,9,255,255,255
30,9,255,255,255
31,9,255,255,255
32,9,252,252,252
33,9,255,255,255
34,9,252,252,252
35,9,255,255,255
36,9,195,195,195
37,9,255,255,255
38,9,250,250,250
39,9,255,255,255
0,10,255,255,255
1,10,254,254,254
2,10,255,255,255
3,10,255,255,255
4,10,253,253,253
5,10,254,254,254
6,10,251,251,251
7,10,1,1,1
8,10,0,0,0
9,10,0,0,0
10,10,5,5,5
11,10,0,0,0
12,10,183,183,183
13,10,254,254,254
14,10,255,255,255
15,10,2,2,2
16,10,0,0,0
17,10,3,3,3
18,10,255,255,255
19,10,255,255,255
20,10,252,252,252
21,10,253,253,253
22,10,3,3,3
23,10,252,252,252
24,10,255,255,255
25,10,255,255,255
26,10,255,255,255
27,10,255,255,255
28,10,255,255,255
29,10,255,255,255
30,10,255,255,255
31,10,255,255,255
32,10,255,255,255
33,10,255,255,255
34,10,255,255,255
35,10,255,255,255
36,10,253,253,253
37,10,195,195,195
38,10,255,255,255
39,10,255,255,255
0,11,253,253,253
1,11,254,254,254
2,11,254,254,254
3,11,255,255,255
4,11,255,255,255
5,11,254,254,254
6,11,255,255,255
7,11,255,255,255
8,11,255,255,255
9,11,255,255,255
10,11,254,254,254
11,11,255,255,255
12,11,254,254,254
13,11,197,197,197
14,11,254,254,254
15,11,255,255,255
16,11,255,255,255
17,11,252,252,252
18,11,252,252,252
19,11,255,255,255
20,11,255,255,255
21,11,255,255,255
22,11,255,255,255
23,11,254,254,254
24,11,255,255,255
25,11,255,255,255
26,11,255,255,255
27,11,255,255,255
28,11,255,255,255
29,11,255,255,255
30,11,255,255,255
31,11,255,255,255
32,11,251,251,251
33,11,251,251,251
34,11,254,254,254
35,11,255,255,255
36,11,255,255,255
37,11,253,253,253
38,11,196,196,196
39,11,254,254,254
0,12,254,254,254
1,12,255,255,255
2,12,255,255,255
3,12,252,252,252
4,12,254,254,254
5,12,251,251,251
6,12,255,255,255
7,12,255,255,255
8,12,253,253,253
9,12,252,252,252
10,12,255,255,255
11,12,253,253,253
12,12,255,255,255
13,12,255,255,255
14,12,194,194,194
15,12,252,252,252
16,12,254,254,254
17,12,254,254,254
18,12,255,255,255
19,12,255,255,255
20,12,251,251,251
21,12,255,255,255
22,12,253,253,253
23,12,255,255,255
24,12,255,255,255
25,12,255,255,255
26,12,255,255,255
27,12,255,255,255
28,12,255,255,255
29,12,255,255,255
30,12,255,255,255
31,12,255,255,255
32,12,255,255,255
33,12,255,255,255
34,12,251,251,251
35,12,254,254,254
36,12,254,254,254
37,12,254,254,254
38,12,255,255,255
39,12,191,191,191
0,13,252,252,252
1,13,255,255,255
2,13,252,252,252
3,13,255,255,255
4,13,255,255,255
5,13,255,255,255
6,13,254,254,254
7,13,253,253,253
8,13,254,254,254
9,13,255,255,255
10,13,253,253,253
11,13,255,255,255
12,13,255,255,255
13,13,255,255,255
14,13,254,254,254
15,13,198,198,198
16,13,255,255,255
17,13,255,255,255
18,13,252,252,252
19,13,255,255,255
20,13,255,255,255
21,13,252,252,252
22,13,255,255,255
23,13,254,254,254
24,13,255,255,255
25,13,255,255,255
26,13,255,255,255
27,13,255,255,255
28,13,255,255,255
29,13,255,255,255
30,13,255,255,255
31,13,255,255,255
32,13,254,254,254
33,13,252,252,252
34,13,255,255,255
35,13,254,254,254
36,13,254,254,254
37,13,255,255,255
38,13,251,251,251
39,13,255,255,255
0,14,255,255,255
1,14,254,254,254
2,14,255,255,255
3,14,255,255,255
4,14,253,253,253
5,14,255,255,255
6,14,254,254,254
7,14,255,255,255
8,14,255,255,255
9,14,255,255,255
10,14,255,255,255
11,14,255,255,255
12,14,255,255,255
13,14,251,251,251
14,14,255,255,255
15,14,254,254,254
16,14,194,194,194
17,14,255,255,255
18,14,255,255,255
19,14,253,253,253
20,14,254,254,254
21,14,255,255,255
22,14,255,255,255
23,14,255,255,255
24,14,255,255,255
25,14,255,255,255
26,14,255,255,255
27,14,255,255,255
28,14,255,255,255
29,14,255,255,255
30,14,255,255,255
31,14,255,255,255
32,14,254,254,254
33,14,255,255,255
34,14,254,254,254
35,14,255,255,255
36,14,255,255,255
37,14,255,255,255
38,14,255,255,255
39,14,255,255,255
0,15,255,255,255
1,15,255,255,255
2,15,255,255,255
3,15,255,255,255
4,15,255,255,255
5,15,255,255,255
6,15,255,255,255
7,15,255,255,255
8,15,255,255,255
9,15,255,255,255
10,15,255,255,255
11,15,255,255,255
12,15,255,255,255
13,15,255,255,255
14,15,255,255,255
15,15,255,255,255
16,15,255,255,255
17,15,195,195,195
18,15,255,255,255
19,15,255,255,255
20,15,255,255,255
21,15,255,255,255
22,15,255,255,255
23,15,254,254,254
24,15,255,255,255
25,15,251,251,251
26,15,255,255,255
27,15,255,255,255
28,15,253,253,253
29,15,255,255,255
30,15,255,255,255
31,15,255,255,255
32,15,255,255,255
33,15,255,255,255
34,15,255,255,255
35,15,255,255,255
36,15,255,255,255
37,15,255,255,255
38,15,255,255,255
39,15,255,255,255
0,16,255,255,255
1,16,255,255,255
2,16,255,255,255
3,16,255,255,255
4,16,255,255,255
5,16,255,255,255
6,16,255,255,255
7,16,255,255,255
8,16,255,255,255
9,16,255,255,255
10,16,255,255,255
11,16,255,255,255
12,16,255,255,255
13,16,255,255,255
14,16,255,255,255
15,16,255,255,255
16,16,255,255,255
17,16,251,251,251
18,16,194,194,194
19,16,255,255,255
20,16,253,253,253
21,16,255,255,255
22,16,248,248,248
23,16,255,255,255
24,16,255,255,255
25,16,255,255,255
26,16,255,255,255
27,16,253,253,253
28,16,255,255,255
29,16,255,255,255
30,16,255,255,255
31,16,253,253,253
32,16,255,255,255
33,16,255,255,255
34,16,255,255,255
35,16,255,255,255
36,16,255,255,255
37,16,255,255,255
38,16,255,255,255
39,16,255,255,255
0,17,255,255,255
1,17,255,255,255
2,17,255,255,255
3,17,255,255,255
4,17,255,255,255
5,17,255,255,255
6,17,255,255,255
7,17,255,255,255
8,17,255,255,255
9,17,255,255,255
10,17,255,255,255
11,17,255,255,255
12,17,255,255,255
13,17,255,255,255
14,17,255,255,255
15,17,255,255,255
16,17,253,253,253
17,17,255,255,255
18,17,255,255,255
19,17,190,190,190
20,17,255,255,255
21,17,254,254,254
22,17,255,255,255
23,17,255,255,255
24,17,250,250,250
25,17,255,255,255
26,17,253,253,253
27,17,255,255,255
28,17,255,255,255
29,17,252,252,252
30,17,253,253,253
31,17,255,255,255
32,17,255,255,255
33,17,255,255,255
34,17,255,255,255
35,17,255,255,255
36,17,255,255,255
37,17,255,255,255
38,17,255,255,255
39,17,255,255,255
0,18,255,255,255
1,18,255,255,255
2,18,255,255,255
3,18,255,255,255
4,18,255,255,255
5,18,255,255,255
6,18,255,255,255
7,18,255,255,255
8,18,255,255,255
9,18,255,255,255
10,18,255,255,255
11,18,255,255,255
12,18,255,255,255
13,18,255,255,255
14,18,255,255,255
15,18,255,255,255
16,18,255,255,255
17,18,255,255,255
18,18,252,252,252
19,18,255,255,255
20,18,196,196,196
21,18,255,255,255
22,18,250,250,250
23,18,254,254,254
24,18,255,255,255
25,18,255,255,255
26,18,253,253,253
27,18,255,255,255
28,18,255,255,255
29,18,255,255,255
30,18,254,254,254
31,18,254,254,254
32,18,255,255,255
33,18,255,255,255
34,18,255,255,255
35,18,255,255,255
36,18,255,255,255
37,18,255,255,255
38,18,255,255,255
39,18,255,255,255
0,19,255,255,255
1,19,255,255,255
2,19,255,255,255
3,19,255,255,255
4,19,255,255,255
5,19,255,255,255
6,19,255,255,255
7,19,255,255,255
8,19,255,255,255
9,19,255,255,255
10,19,255,255,255
11,19,255,255,255
12,19,255,255,255
13,19,255,255,255
14,19,255,255,255
15,19,255,255,255
16,19,255,255,255
17,19,255,255,255
18,19,254,254,254
19,19,255,255,255
20,19,254,254,254
21,19,193,193,193
22,19,255,255,255
23,19,255,255,255
24,19,255,255,255
25,19,252,252,252
26,19,255,255,255
27,19,254,254,254
28,19,251,251,251
29,19,255,255,255
30,19,255,255,255
31,19,253,253,253
32,19,255,255,255
33,19,255,255,255
34,19,255,255,255
35,19,255,255,255
36,19,255,255,255
37,19,255,255,255
38,19,255,255,255
39,19,255,255,255
0,20,255,255,255
1,20,255,255,255
2,20,255,255,255
3,20,255,255,255
4,20,255,255,255
5,20,255,255,255
6,20,255,255,255
7,20,255,255,255
8,20,255,255,255
9,20,255,255,255
10,20,255,255,255
11,20,255,255,255
12,20,255,255,255
13,20,255,255,255
14,20,255,255,255
15,20,255,255,255
16,20,255,255,255
17,20,254,254,254
18,20,255,255,255
19,20,255,255,255
20,20,253,253,253
21,20,255,255,255
22,20,194,194,194
23,20,255,255,255
24,20,255,255,255
25,20,252,252,252
26,20,255,255,255
27,20,255,255,255
28,20,254,254,254
29,20,254,254,254
30,20,254,254,254
31,20,255,255,255
32,20,255,255,255
33,20,255,255,255
34,20,255,255,255
35,20,255,255,255
36,20,255,255,255
37,20,255,255,255
38,20,255,255,255
39,20,255,255,255
0,21,255,255,255
1,21,255,255,255
2,21,255,255,255
3,21,255,255,255
4,21,255,255,255
5,21,255,255,255
6,21,255,255,255
7,21,255,255,255
8,21,255,255,255
9,21,255,255,255
10,21,255,255,255
11,21,255,255,255
12,21,255,255,255
13,21,255,255,255
14,21,255,255,255
15,21,255,255,255
16,21,253,253,253
17,21,255,255,255
18,21,255,255,255
19,21,255,255,255
20,21,255,255,255
21,21,255,255,255
22,21,253,253,253
23,21,194,194,194
24,21,254,254,254
25,21,255,255,255
26,21,251,251,251
27,21,253,253,253
28,21,255,255,255
29,21,254,254,254
30,21,255,255,255
31,21,255,255,255
32,21,255,255,255
33,21,255,255,255
34,21,255,255,255
35,21,255,255,255
36,21,255,255,255
37,21,255,255,255
38,21,255,255,255
39,21,255,255,255
0,22,255,255,255
1,22,255,255,255
2,22,255,255,255
3,22,255,255,255
4,22,255,255,255
5,22,255,255,255
6,22,255,255,255
7,22,255,255,255
8,22,255,255,255
9,22,255,255,255
10,22,255,255,255
11,22,255,255,255
12,22,255,255,255
13,22,255,255,255
14,22,255,255,255
15,22,255,255,255
16,22,255,255,255
17,22,251,251,251
18,22,255,255,255
19,22,254,254,254
20,22,255,255,255
21,22,253,253,253
22,22,255,255,255
23,22,255,255,255
24,22,197,197,197
25,22,252,252,252
26,22,255,255,255
27,22,254,254,254
28,22,254,254,254
29,22,250,250,250
30,22,254,254,254
31,22,253,253,253
32,22,255,255,255
33,22,255,255,255
34,22,255,255,255
35,22,255,255,255
36,22,255,255,255
37,22,255,255,255
38,22,255,255,255
39,22,255,255,255
0,23,255,255,255
1,23,255,255,255
2,23,255,255,255
3,23,255,255,255
4,23,255,255,255
5,23,255,255,255
6,23,255,255,255
7,23,255,255,255
8,23,255,255,255
9,23,255,255,255
10,23,255,255,255
11,23,255,255,255
12,23,255,255,255
13,23,255,255,255
14,23,255,255,255
15,23,255,255,255
16,23,255,255,255
17,23,255,255,255
18,23,255,255,255
19,23,255,255,255
20,23,255,255,255
21,23,255,255,255
22,23,255,255,255
23,23,255,255,255
24,23,255,255,255
25,23,196,196,196
26,23,255,255,255
27,23,254,254,254
28,23,255,255,255
29,23,255,255,255
30,23,254,254,254
31,23,254,254,254
32,23,255,255,255
33,23,255,255,255
34,23,255,255,255
35,23,255,255,255
36,23,255,255,255
37,23,255,255,255
38,23,255,255,255
39,23,255,255,255
0,24,255,255,255
1,24,255,255,255
2,24,255,255,255
3,24,255,255,255
4,24,255,255,255
5,24,255,255,255
6,24,255,255,255
7,24,255,255,255
8,24,255,255,255
9,24,255,255,255
10,24,255,255,255
11,24,255,255,255
12,24,255,255,255
13,24,255,255,255
14,24,255,255,255
15,24,255,255,255
16,24,255,255,255
17,24,255,255,255
18,24,255,255,255
19,24,255,255,255
20,24,255,255,255
21,24,255,255,255
22,24,255,255,255
23,24,255,255,255
24,24,251,251,251
25,24,254,254,254
26,24,196,196,196
27,24,255,255,255
28,24,255,255,255
29,24,255,255,255
30,24,255,255,255
31,24,255,255,255
32,24,255,255,255
33,24,255,255,255
34,24,255,255,255
35,24,255,255,255
36,24,255,255,255
37,24,255,255,255
38,24,255,255,255
39,24,255,255,255
